Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
TE,Noah Fant (16006642),Noah Fant,16006642,TE/FLEX,4800,DEN@LAC 12/27/2020 04:05PM ET,DEN,10.67
QB,Case Keenum (16006125),Case Keenum,16006125,QB,4800,CLE@NYJ 12/27/2020 01:00PM ET,CLE,1.84
WR,Rashard Higgins (16006406),Rashard Higgins,16006406,WR/FLEX,4800,CLE@NYJ 12/27/2020 01:00PM ET,CLE,10.58
QB,Brandon Allen (16006122),Brandon Allen,16006122,QB,4800,CIN@HOU 12/27/2020 01:00PM ET,CIN,10.48
QB,Ryan Finley (16006127),Ryan Finley,16006127,QB,4800,CIN@HOU 12/27/2020 01:00PM ET,CIN,4.23
RB,Giovani Bernard (16006212),Giovani Bernard,16006212,RB/FLEX,4800,CIN@HOU 12/27/2020 01:00PM ET,CIN,9.88
QB,Mike Glennon (16006124),Mike Glennon,16006124,QB,4800,CHI@JAX 12/27/2020 01:00PM ET,JAX,11.83
WR,DJ Chark Jr. (16006404),DJ Chark Jr.,16006404,WR/FLEX,4800,CHI@JAX 12/27/2020 01:00PM ET,JAX,11.7
QB,Ben DiNucci (16006123),Ben DiNucci,16006123,QB,4800,PHI@DAL 12/27/2020 04:25PM ET,DAL,4.48
RB,Todd Gurley II (16006214),Todd Gurley II,16006214,RB/FLEX,4700,ATL@KC 12/27/2020 01:00PM ET,ATL,11.82
TE,Hunter Henry (16006644),Hunter Henry,16006644,TE/FLEX,4700,DEN@LAC 12/27/2020 04:05PM ET,LAC,10.38
WR,Tee Higgins (16006408),Tee Higgins,16006408,WR/FLEX,4700,CIN@HOU 12/27/2020 01:00PM ET,CIN,13.82
QB,Garrett Gilbert (16006128),Garrett Gilbert,16006128,QB,4700,PHI@DAL 12/27/2020 04:25PM ET,DAL,15.52
WR,Jalen Reagor (16006416),Jalen Reagor,16006416,WR/FLEX,4600,PHI@DAL 12/27/2020 04:25PM ET,PHI,8.74
QB,P.J. Walker (16006130),P.J. Walker,16006130,QB,4500,CAR@WAS 12/27/2020 01:00PM ET,CAR,4.24
WR,Mike Williams (16006414),Mike Williams,16006414,WR/FLEX,4500,DEN@LAC 12/27/2020 04:05PM ET,LAC,10.38
RB,Ty Johnson (16006216),Ty Johnson,16006216,RB/FLEX,4500,CLE@NYJ 12/27/2020 01:00PM ET,NYJ,5.62
WR,Jamison Crowder (16006412),Jamison Crowder,16006412,WR/FLEX,4500,CLE@NYJ 12/27/2020 01:00PM ET,NYJ,14.46
RB,Devonta Freeman (16006218),Devonta Freeman,16006218,RB/FLEX,4500,NYG@BAL 12/27/2020 01:00PM ET,NYG,7.2
WR,Sterling Shepard (16006410),Sterling Shepard,16006410,WR/FLEX,4500,NYG@BAL 12/27/2020 01:00PM ET,NYG,10.62
QB,John Wolford (16006129),John Wolford,16006129,QB,4500,LAR@SEA 12/27/2020 04:25PM ET,LAR,0
RB,Darrell Henderson Jr. (16006220),Darrell Henderson Jr.,16006220,RB/FLEX,4500,LAR@SEA 12/27/2020 04:25PM ET,LAR,9.08
RB,Peyton Barber (16006224),Peyton Barber,16006224,RB/FLEX,4400,CAR@WAS 12/27/2020 01:00PM ET,WAS,4.42
QB,Chad Henne (16006132),Chad Henne,16006132,QB,4400,ATL@KC 12/27/2020 01:00PM ET,KC,3.5
QB,Jeff Driskel (16006131),Jeff Driskel,16006131,QB,4400,DEN@LAC 12/27/2020 04:05PM ET,DEN,10.69
RB,Gus Edwards (16006222),Gus Edwards,16006222,RB/FLEX,4400,NYG@BAL 12/27/2020 01:00PM ET,BAL,7.86
WR,Chad Hansen (16006418),Chad Hansen,16006418,WR/FLEX,4400,CIN@HOU 12/27/2020 01:00PM ET,HOU,14.73
QB,Will Grier (16006134),Will Grier,16006134,QB,4300,CAR@WAS 12/27/2020 01:00PM ET,CAR,0
QB,Jake Luton (16006133),Jake Luton,16006133,QB,4300,CHI@JAX 12/27/2020 01:00PM ET,JAX,12.42
WR,Michael Pittman Jr. (16006420),Michael Pittman Jr.,16006420,WR/FLEX,4200,IND@PIT 12/27/2020 01:00PM ET,IND,8.19
TE,Eric Ebron (16006646),Eric Ebron,16006646,TE/FLEX,4200,IND@PIT 12/27/2020 01:00PM ET,PIT,9.08
QB,Matt Schaub (16006136),Matt Schaub,16006136,QB,4200,ATL@KC 12/27/2020 01:00PM ET,ATL,-0.4
RB,Darrel Williams (16006232),Darrel Williams,16006232,RB/FLEX,4200,ATL@KC 12/27/2020 01:00PM ET,KC,3.82
RB,Phillip Lindsay (16006228),Phillip Lindsay,16006228,RB/FLEX,4200,DEN@LAC 12/27/2020 04:05PM ET,DEN,6.27
WR,Tim Patrick (16006422),Tim Patrick,16006422,WR/FLEX,4200,DEN@LAC 12/27/2020 04:05PM ET,DEN,12.05
RB,Frank Gore (16006230),Frank Gore,16006230,RB/FLEX,4200,CLE@NYJ 12/27/2020 01:00PM ET,NYJ,6.78
RB,Mark Ingram II (16006226),Mark Ingram II,16006226,RB/FLEX,4200,NYG@BAL 12/27/2020 01:00PM ET,BAL,5.44
QB,AJ McCarron (16006135),AJ McCarron,16006135,QB,4200,CIN@HOU 12/27/2020 01:00PM ET,HOU,0
QB,Mason Rudolph (16006141),Mason Rudolph,16006141,QB,4100,IND@PIT 12/27/2020 01:00PM ET,PIT,-0.11
QB,Jacoby Brissett (16006142),Jacoby Brissett,16006142,QB,4100,IND@PIT 12/27/2020 01:00PM ET,IND,2.24
